,0,1,2,3,4
121,2021-03-07 13:17:58,"RT @HouseOfFakts: 6000 #Rohingyas identified, 5500 in Jammu alone. 0ver 300 detained &amp; 155 sent to holding centre.

#Rohingyas have settled…",CmG4BJP,हिन्दू का हिन्दुस्तान,en
122,2021-03-07 13:17:48,"RT @rpfswrsbc: RPF Bengaluru's  #ShaktiTeamAbbakka
attended T.N0.02295, Ex.Bengaluru- Danapur Sanghamitra Exp &amp; conducted awareness regardi…",PC_SBC_RPF,Bangalore ,en
123,2021-03-07 13:17:38,"RT @rpfswrsbc: RPF Bengaluru's  #ShaktiTeamChennamma attended T.N0.02874, Ex.Yeshwantpur - Howrah  Express &amp; conducted awareness regarding…",PC_SBC_RPF,Bangalore ,en
124,2021-03-07 13:17:30,"RT @rpfswrsbc: RPF Bengaluru's  #ShaktiTeamChennamma attended T.N0.02246, Ex.Yeshwantpur - Howrah Duronto Exp &amp; conducted awareness regardi…",PC_SBC_RPF,Bangalore ,en
125,2021-03-07 13:17:24,"RT @Srk_bangalore: Wow its here....! Save the dates. Finally @IPL #IPL2021 schedule is out now.
This time We @iamsrk Fans Association Banga…",RajatItankar,"Nagpur, India",en
126,2021-03-07 13:17:14,"RT @reach_santosh: I had conversation with a Bengali guy in Bengaluru couple of days back, he is damn sure that BJP will form government in…",Raghavendra0616,,en
127,2021-03-07 13:17:12,"RT @rpfswrsbc: RPF Bengaluru's  #ShaktiTeamChennamma attended T.N0.02873, Ex.Howrah - Yeshwantpur Express &amp; conducted awareness regarding w…",PC_SBC_RPF,Bangalore ,en
128,2021-03-07 13:16:58,"RT @PChauhan2798: Thank you TOI for covering our story. Thank you for putting it so well.
 Please give it a read Everyone to know the full…",Abhisingh53,"Greater Noida, India",en
129,2021-03-07 13:16:57,RT @prajwalmanipal: How the Bengaluru metro construction industry routinely gets away with not paying its workers. Wage disputes have incre…,abhinav1126,,en
130,2021-03-07 13:16:52,"RT @ShobhaBJP: On this day in 2020, the dream of having a dedicated train to Coast from Bengaluru fulfilled.

Not to forget the support of…",avibhanawat,भारत,en
131,2021-03-07 13:16:34,"RT @RishiPrasadOrg: A door to door Rishi Prasad Campaign at Mahadevpura Area, Bengaluru with the holy inspiration of Sant Shri AsharamJi Ba…",Prakash88656693,,en
132,2021-03-07 13:16:31,RT @dhanyarajendran: Most of us living in Bengaluru travel by Metro and often question why Metro work is delayed. Let's sit back for a few…,techrsn,,en
133,2021-03-07 13:15:54,"RT @AudiPhotography: Evening light. 
Shot from the Kodigehalli Signal, Bengaluru on the phone. https://t.co/oumgXQIYkJ",robinghaitweets,Noida,en
134,2021-03-07 13:15:50,"RT @deeputalks: CSK to play five games in Mumbai, four in Delhi, three in Bengaluru and two in Kolkata - 10/14 games at Wankhede, MCS &amp; Ede…",samkarthick7,Chennai,en
135,2021-03-07 13:15:49,"RT @LabourReports: Principal employer is duty bound to deposit contributions of the employees of the contractor.
Bengaluru Urban, Bengaluru…",epforourkela,,en
136,2021-03-07 13:15:49,"RT @Beingsajiddarr: ISRO chief Dr. Sivan get his first COVID 19 vaccine in Bengaluru.

P.S - I'm his Fan ! Space is ♥️ https://t.co/392varv…",Kshitiz0590,India,en
137,2021-03-07 13:15:43,RT @prajwalmanipal: How the Bengaluru metro construction industry routinely gets away with not paying its workers. Wage disputes have incre…,smithchrist123,,en
138,2021-03-07 13:15:42,RT @Equateall: When will Bengaluru citizens stop dumping garbage at night on streets? Why can't these people handover garbage at door step?…,vinirish,Vinirishsays,en
